@relation 'poor performance'

@attribute ctr real
@attribute cpc real
@attribute cpm real
@attribute cpuv real
@attribute order_rate_uv real
@attribute paid_rate_uv real
@attribute gmv_per_uv real
@attribute roi real

@data
0.04956597,0.01915567,0.94946952,0.05712376,0.02729945,0.01784964,0.11149587,1.95183011
0.04230707,0.02532573,1.07145746,0.07542707,0.02249561,0.01848858,0.20478383,2.71499138
0.03514291,0.04331784,1.52231481,0.07021135,0.02333758,0.01800549,0.18556547,2.64295541
0.03237715,0.02027529,0.65645593,0.09385081,0.03466068,0.02781828,0.16805945,1.79070851
0.02815064,0.04273962,1.20314781,0.13343852,0.028825,0.02048092,0.28648866,2.14697121
0.01519916,0.04804663,0.73026854,0.09480533,0.03551663,0.02516964,0.1614274,1.70272493
0.040029,0.01412247,0.56530833,0.06192637,0.0359589,0.02943065,0.16333155,2.6375121
0.01958471,0.04435226,0.86862631,0.07617456,0.03269927,0.0263025,0.25760668,3.38179397
0.03818278,0.01715582,0.65505696,0.09000901,0.01068074,0.00733496,0.11141037,1.23776914
0.03323191,0.02025752,0.67319619,0.22690682,0.01335188,0.00723227,0.02132684,0.09398943
0.0175655,0.02566757,0.4508637,0.09647334,0.0324087,0.0207341,0.12146913,1.2590954
0.02999073,0.02536766,0.76079452,0.05469423,0.04758829,0.02761628,0.14123923,2.58234252
0.03980346,0.02663783,1.06027769,0.05227018,0.03720472,0.02750984,0.14922096,2.8548012
0.06033257,0.01497904,0.90372413,0.0461096,0.03793237,0.03194714,0.169644,3.679147
0.02847213,0.03824231,1.08884001,0.07430717,0.02498405,0.01482354,0.18202817,2.4496717
0.03052206,0.02009473,0.61333253,0.09111419,0.04595312,0.03533079,0.23324674,2.55993867
0.03734647,0.0379908,1.41882247,0.08427567,0.01603945,0.01343233,0.12083428,1.43379782
0.01685003,0.05589547,0.94184041,0.15048631,0.04649238,0.03304132,0.31399255,2.08651907
0.02580831,0.03822158,0.98643444,0.07787483,0.03959879,0.02230697,0.16284923,2.09116645
0.02792044,0.02601207,0.72626849,0.08188586,0.03458354,0.01932132,0.22232099,2.71501086
0.01980469,0.04267534,0.84517181,0.12466631,0.03355705,0.01915391,0.21195611,1.70018752
